"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22949","TC-POS-016 - Tambah dokter via form registrasi","firefox","2026-09-13","failed","2026-09-13","pos Doctor","","",""
"","16573","TC-LGN-001 - Login berhasil sebagai testqa2","firefox","2026-09-13","passed","2026-09-13","Login gpos","","",""
"","8322","TC-LGN-002 - Login tidak input password","firefox","2026-09-13","passed","2026-09-13","Login gpos","","",""
"","22747","TC-POS-014 - Default dokter adalah Internal","firefox","2026-09-13","failed","2026-09-13","pos Doctor","","",""
"","22652","TC-POS-005 - Edit Qty item yang sudah masuk list penjualan","firefox","2026-09-13","failed","2026-09-13","product edit","","",""
"","21913","TC-POS-002 - Search produk dengan keyword minimal 4 karakter","chromium","2026-09-13","failed","2026-09-13","product search","","",""
"","21733","TC-POS-011 - Validasi field mandatory pada form tambah pelanggan","chromium","2026-09-13","failed","2026-09-13","pos Customer","","",""
"","22569","end to end","chromium","2026-09-13","failed","2026-09-13","e2e","","",""
"","31486","TC-POS-008 - Cari pelanggan dengan keyword minimal 4 karakter","firefox","2026-09-13","broken","2026-09-13","pos Customer","","",""
"","22851","TC-POS-011 - Validasi field mandatory pada form tambah pelanggan","firefox","2026-09-13","failed","2026-09-13","pos Customer","","",""
"","21843","TC-POS-005 - Edit Qty item yang sudah masuk list penjualan","chromium","2026-09-13","failed","2026-09-13","product edit","","",""
"","11716","TC-LGN-001 - Login berhasil sebagai testqa2","chromium","2026-09-13","passed","2026-09-13","Login gpos","","",""
"","21917","TC-POS-014 - Default dokter adalah Internal","chromium","2026-09-13","failed","2026-09-13","pos Doctor","","",""
"","22582","TC-POS-002 - Search produk dengan keyword minimal 4 karakter","firefox","2026-09-13","failed","2026-09-13","product search","","",""
"","22763","TC-POS-009 - Pilih customer dari popup list pelanggan","firefox","2026-09-13","failed","2026-09-13","pos Customer","","",""
"","21073","TC-POS-017 - Klik Batal pada form tambah dokter","chromium","2026-09-13","failed","2026-09-13","pos Doctor","","",""
"","22664","TC-POS-003 - Tambah product dari hasil pencarian manual","firefox","2026-09-13","failed","2026-09-13","product add","","",""
"","21680","TC-POS-018 - Pilih doctor dari popup list pelanggan","chromium","2026-09-13","failed","2026-09-13","pos Doctor","","",""
"","22666","TC-POS-012 - Tambah pelanggan via Tambah Cepat dengan field mandatory valid","firefox","2026-09-13","failed","2026-09-13","pos Customer","","",""
"","30569","TC-POS-007 - Klik icon search customer tanpa keyword","chromium","2026-09-13","broken","2026-09-13","pos Customer","","",""
"","26633","TC-POS-006 - Default customer adalah Regular","chromium","2026-09-13","failed","2026-09-13","pos Customer","","",""
"","23172","TC-POS-017 - Klik Batal pada form tambah dokter","firefox","2026-09-13","failed","2026-09-13","pos Doctor","","",""
"","22861","TC-POS-007 - Klik icon search customer tanpa keyword","firefox","2026-09-13","failed","2026-09-13","pos Customer","","",""
"","21842","TC-POS-016 - Tambah dokter via form registrasi","chromium","2026-09-13","failed","2026-09-13","pos Doctor","","",""
"","21537","TC-POS-008 - Cari pelanggan dengan keyword minimal 4 karakter","chromium","2026-09-13","failed","2026-09-13","pos Customer","","",""
"","22913","TC-POS-010 - Klik icon + pada field customer","firefox","2026-09-13","failed","2026-09-13","pos Customer","","",""
"","7897","TC-LGN-002 - Login tidak input password","chromium","2026-09-13","passed","2026-09-13","Login gpos","","",""
"","31349","end to end","firefox","2026-09-13","broken","2026-09-13","e2e","","",""
"","21067","TC-POS-015 - Cari doctor dengan keyword minimal 4 karakter","chromium","2026-09-13","failed","2026-09-13","pos Doctor","","",""
"","20987","TC-POS-006 - Default customer adalah Regular","firefox","2026-09-13","failed","2026-09-13","pos Customer","","",""
"","20582","TC-POS-013 - Klik icon X untuk membatalkan form tambah pelanggan","chromium","2026-09-13","failed","2026-09-13","pos Customer","","",""
"","30375","TC-POS-012 - Tambah pelanggan via Tambah Cepat dengan field mandatory valid","chromium","2026-09-13","broken","2026-09-13","pos Customer","","",""
"","22821","TC-POS-015 - Cari doctor dengan keyword minimal 4 karakter","firefox","2026-09-13","failed","2026-09-13","pos Doctor","","",""
"","20365","TC-POS-001 - Search produk dengan keyword kurang dari 4 karakter","chromium","2026-09-13","failed","2026-09-13","product search","","",""
"","25746","TC-POS-013 - Klik icon X untuk membatalkan form tambah pelanggan","firefox","2026-09-13","passed","2026-09-13","pos Customer","","",""
"","22954","TC-POS-001 - Search produk dengan keyword kurang dari 4 karakter","firefox","2026-09-13","failed","2026-09-13","product search","","",""
"","23050","TC-POS-010 - Klik icon + pada field customer","chromium","2026-09-13","failed","2026-09-13","pos Customer","","",""
"","22974","TC-POS-018 - Pilih doctor dari popup list pelanggan","firefox","2026-09-13","failed","2026-09-13","pos Doctor","","",""
"","27670","TC-POS-009 - Pilih customer dari popup list pelanggan","chromium","2026-09-13","failed","2026-09-13","pos Customer","","",""
"","20646","TC-POS-003 - Tambah product dari hasil pencarian manual","chromium","2026-09-13","failed","2026-09-13","product add","","",""
