"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23342","TC-POS-003 - Tambah product dari hasil pencarian manual","firefox","2026-09-03","passed","2026-09-03","product add","","",""
"","31659","TC-POS-012 - Tambah pelanggan via Tambah Cepat dengan field mandatory valid","firefox","2026-09-03","broken","2026-09-03","pos Customer","","",""
"","31754","TC-POS-018 - Pilih doctor dari popup list pelanggan","firefox","2026-09-03","broken","2026-09-03","pos Doctor","","",""
"","19476","TC-POS-001 - Search produk dengan keyword kurang dari 4 karakter","chromium","2026-09-03","failed","2026-09-03","product search","","",""
"","19057","TC-POS-009 - Pilih customer dari popup list pelanggan","chromium","2026-09-03","failed","2026-09-03","pos Customer","","",""
"","19529","TC-POS-016 - Tambah dokter via form registrasi","chromium","2026-09-03","failed","2026-09-03","pos Doctor","","",""
"","21892","TC-POS-017 - Klik Batal pada form tambah dokter","chromium","2026-09-03","failed","2026-09-03","pos Doctor","","",""
"","7538","TC-LGN-002 - Login tidak input password","chromium","2026-09-03","passed","2026-09-03","Login gpos","","",""
"","22405","TC-POS-010 - Klik icon + pada field customer","firefox","2026-09-03","failed","2026-09-03","pos Customer","","",""
"","20393","TC-POS-005 - Edit Qty item yang sudah masuk list penjualan","firefox","2026-09-03","failed","2026-09-03","product edit","","",""
"","22666","TC-POS-009 - Pilih customer dari popup list pelanggan","firefox","2026-09-03","failed","2026-09-03","pos Customer","","",""
"","23379","TC-POS-008 - Cari pelanggan dengan keyword minimal 4 karakter","firefox","2026-09-03","failed","2026-09-03","pos Customer","","",""
"","30518","TC-POS-013 - Klik icon X untuk membatalkan form tambah pelanggan","chromium","2026-09-03","broken","2026-09-03","pos Customer","","",""
"","30575","TC-POS-008 - Cari pelanggan dengan keyword minimal 4 karakter","chromium","2026-09-03","broken","2026-09-03","pos Customer","","",""
"","23174","end to end","firefox","2026-09-03","failed","2026-09-03","e2e","","",""
"","31654","TC-POS-014 - Default dokter adalah Internal","firefox","2026-09-03","broken","2026-09-03","pos Doctor","","",""
"","23067","TC-POS-013 - Klik icon X untuk membatalkan form tambah pelanggan","firefox","2026-09-03","failed","2026-09-03","pos Customer","","",""
"","31803","TC-POS-007 - Klik icon search customer tanpa keyword","firefox","2026-09-03","broken","2026-09-03","pos Customer","","",""
"","26083","TC-POS-006 - Default customer adalah Regular","chromium","2026-09-03","failed","2026-09-03","pos Customer","","",""
"","19646","TC-POS-015 - Cari doctor dengan keyword minimal 4 karakter","chromium","2026-09-03","failed","2026-09-03","pos Doctor","","",""
"","22483","TC-POS-002 - Search produk dengan keyword minimal 4 karakter","firefox","2026-09-03","failed","2026-09-03","product search","","",""
"","19946","TC-POS-018 - Pilih doctor dari popup list pelanggan","chromium","2026-09-03","failed","2026-09-03","pos Doctor","","",""
"","11165","TC-LGN-001 - Login berhasil sebagai testqa2","chromium","2026-09-03","passed","2026-09-03","Login gpos","","",""
"","30520","TC-POS-014 - Default dokter adalah Internal","chromium","2026-09-03","broken","2026-09-03","pos Doctor","","",""
"","19033","TC-POS-011 - Validasi field mandatory pada form tambah pelanggan","chromium","2026-09-03","failed","2026-09-03","pos Customer","","",""
"","22684","TC-POS-015 - Cari doctor dengan keyword minimal 4 karakter","firefox","2026-09-03","failed","2026-09-03","pos Doctor","","",""
"","7661","TC-LGN-002 - Login tidak input password","firefox","2026-09-03","passed","2026-09-03","Login gpos","","",""
"","30449","TC-POS-007 - Klik icon search customer tanpa keyword","chromium","2026-09-03","broken","2026-09-03","pos Customer","","",""
"","15675","TC-LGN-001 - Login berhasil sebagai testqa2","firefox","2026-09-03","passed","2026-09-03","Login gpos","","",""
"","31442","TC-POS-011 - Validasi field mandatory pada form tambah pelanggan","firefox","2026-09-03","broken","2026-09-03","pos Customer","","",""
"","20722","end to end","chromium","2026-09-03","failed","2026-09-03","e2e","","",""
"","19329","TC-POS-012 - Tambah pelanggan via Tambah Cepat dengan field mandatory valid","chromium","2026-09-03","failed","2026-09-03","pos Customer","","",""
"","23256","TC-POS-017 - Klik Batal pada form tambah dokter","firefox","2026-09-03","failed","2026-09-03","pos Doctor","","",""
"","19436","TC-POS-010 - Klik icon + pada field customer","chromium","2026-09-03","failed","2026-09-03","pos Customer","","",""
"","19252","TC-POS-005 - Edit Qty item yang sudah masuk list penjualan","chromium","2026-09-03","failed","2026-09-03","product edit","","",""
"","31621","TC-POS-016 - Tambah dokter via form registrasi","firefox","2026-09-03","broken","2026-09-03","pos Doctor","","",""
"","30509","TC-POS-003 - Tambah product dari hasil pencarian manual","chromium","2026-09-03","broken","2026-09-03","product add","","",""
"","19417","TC-POS-002 - Search produk dengan keyword minimal 4 karakter","chromium","2026-09-03","failed","2026-09-03","product search","","",""
"","31573","TC-POS-006 - Default customer adalah Regular","firefox","2026-09-03","broken","2026-09-03","pos Customer","","",""
"","22852","TC-POS-001 - Search produk dengan keyword kurang dari 4 karakter","firefox","2026-09-03","failed","2026-09-03","product search","","",""
